Symbol,Name,Date,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,"Sales, General and Admin.",Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
CMCSA,Comcast Corporation Class A Common Stock (CMCSA),31/12/2020,103564000,33121000,70443000,0,39850000,0,13100000,17493000,1160000,18653000,4588000,14065000,3364000,0,-167000,10534000,10534000,10534000
CMCSA,Comcast Corporation Class A Common Stock (CMCSA),31/12/2019,108942000,34440000,74502000,0,40424000,0,12953000,21125000,438000,21563000,4567000,16996000,3673000,0,-266000,13057000,13057000,13057000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2022,120741000,50848000,69893000,0,28961000,27498000,18021000,-4587000,5810000,3014000,6108000,-3094000,3780000,1791000,-1469000,-6874000,-8524000,-8727000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2021,134038000,60407000,73631000,0,29669000,213000,17852000,25897000,9387000,35887000,6716000,29171000,5395000,603000,-1398000,23776000,20081000,19874000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2020,143050000,65651000,77399000,0,30817000,15687000,22523000,8372000,-1088000,7373000,7727000,-354000,1168000,89000,-1355000,-1522000,-5176000,-5369000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2019,181193000,84141000,97052000,0,39422000,1458000,28217000,27955000,-1071000,26890000,8422000,18468000,3493000,6000,-1072000,13909000,13903000,13900000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2023,26781000,0,26781000,0,20476000,272000,0,6033000,171000,6415000,1976000,4439000,1083000,211000,0,3356000,9641000,9641000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2022,24291000,0,24291000,0,18316000,220000,0,5755000,66000,5942000,1411000,4531000,1656000,121000,0,2874000,3099000,3099000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2021,18854000,0,18854000,0,15093000,448000,0,3313000,80000,3473000,1177000,2296000,497000,80000,0,1799000,2264000,2264000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2020,16566000,0,16566000,0,13450000,290000,0,2826000,67000,3001000,1265000,1736000,459000,108000,0,1277000,1569000,1569000
SO,Southern Company (The) Common Stock (SO),31/12/2022,29279000,18458000,10821000,0,1594000,251000,3663000,5370000,781000,6245000,2022000,4223000,795000,151000,107000,3686000,3686000,3524000
SO,Southern Company (The) Common Stock (SO),31/12/2021,23113000,13052000,10061000,0,2982000,2000,3565000,3698000,825000,4413000,1837000,2576000,267000,76000,99000,2484000,2484000,2393000
SO,Southern Company (The) Common Stock (SO),31/12/2020,20375000,10478000,9897000,0,1559000,0,3518000,4885000,344000,5317000,1821000,3496000,393000,153000,31000,3287000,3287000,3119000
SO,Southern Company (The) Common Stock (SO),31/12/2019,21419000,11816000,9603000,0,1230000,168000,3038000,7736000,2949000,8278000,1736000,6542000,1798000,162000,10000,4916000,4916000,4739000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2022,28768000,15792000,12976000,0,1466000,434000,5086000,6012000,414000,6517000,2439000,4078000,300000,113000,95000,3778000,2550000,2444000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2021,24621000,12663000,11958000,0,1355000,353000,4762000,5500000,648000,6198000,2207000,3991000,268000,62000,329000,3723000,3908000,3802000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2020,23366000,12013000,11353000,0,1311000,978000,4504000,4571000,462000,3017000,2097000,920000,-169000,-2005000,295000,1089000,1377000,1270000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2019,25079000,13519000,11560000,0,1307000,-8000,4548000,5709000,426000,6301000,2204000,4097000,519000,162000,177000,3578000,3748000,3707000
