,Unnamed: 0,Symbol,Name,Date,Current Assets,Cash and Cash Equivalents,Short-Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long-Term Assets,Long-Term Investments,Fixed Assets,Goodwill,Intangible Assets,Other Assets,Deferred Asset Charges,Total Assets,Current Liabilities,Accounts Payable,Short-Term Debt / Current Portion of Long-Term Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Liabilities,Deferred Liability Charges,Misc. Stocks,Minority Interest,Total Liabilities,Stock Holders Equity,Common Stocks,Capital Surplus,Retained Earnings,Treasury Stock,Other Equity,Total Equity,Total Liabilities & Equity
118,14,goog,Alphabet Inc. Class C Capital Stock (GOOG),12/31/2020,,"$26,465,000","$110,229,000","$31,384,000","$728,000","$5,490,000","$174,296,000",,"$20,703,000","$96,960,000","$21,175,000","$1,445,000","$3,953,000","$1,084,000","$319,616,000",,"$54,291,000",--,"$2,543,000","$56,834,000","$13,932,000","$22,264,000","$4,042,000",--,--,"$97,072,000",,"$58,510,000","$163,401,000",--,--,"$633,000","$222,544,000","$319,616,000"
119,15,goog,Alphabet Inc. Class C Capital Stock (GOOG),12/31/2019,,"$18,498,000","$101,177,000","$27,492,000","$999,000","$4,412,000","$152,578,000",,"$13,078,000","$84,587,000","$20,624,000","$1,979,000","$2,342,000","$721,000","$275,909,000",,"$43,313,000",--,"$1,908,000","$45,221,000","$4,554,000","$22,633,000","$2,059,000",--,--,"$74,467,000",,"$50,552,000","$152,122,000",--,--,"-$1,232,000","$201,442,000","$275,909,000"
120,16,csco,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",7/29/2023,,"$10,123,000","$16,023,000","$9,206,000","$3,644,000","$4,352,000","$43,348,000",,"$3,483,000","$2,085,000","$38,535,000","$1,818,000","$6,007,000","$6,576,000","$101,852,000",,"$10,532,000","$1,733,000","$19,044,000","$31,309,000","$6,658,000","$7,890,000","$11,642,000",--,--,"$57,499,000",,"$44,289,000","$1,639,000",--,--,"-$1,575,000","$44,353,000","$101,852,000"
121,17,csco,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",7/30/2022,,"$7,079,000","$12,188,000","$10,527,000","$2,568,000","$4,355,000","$36,717,000",,"$4,009,000","$1,997,000","$38,304,000","$2,569,000","$5,957,000","$4,449,000","$94,002,000",,"$6,558,000","$1,099,000","$17,983,000","$25,640,000","$8,416,000","$9,693,000","$10,480,000",--,--,"$54,229,000",,"$42,714,000","-$1,319,000",--,--,"-$1,622,000","$39,773,000","$94,002,000"
122,18,csco,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",7/31/2021,,"$9,175,000","$15,343,000","$10,146,000","$1,559,000","$2,889,000","$39,112,000",,"$4,884,000","$2,338,000","$38,168,000","$3,619,000","$5,016,000","$4,360,000","$97,497,000",,"$6,981,000","$2,508,000","$16,768,000","$26,257,000","$9,018,000","$10,931,000","$10,016,000",--,--,"$56,222,000",,"$42,346,000","-$654,000",--,--,"-$417,000","$41,275,000","$97,497,000"
123,19,csco,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",7/25/2020,,"$11,809,000","$17,610,000","$10,523,000","$1,282,000","$2,349,000","$43,573,000",,"$5,714,000","$2,453,000","$33,806,000","$1,576,000","$3,741,000","$3,990,000","$94,853,000",,"$6,179,000","$3,005,000","$16,147,000","$25,331,000","$11,578,000","$10,984,000","$9,040,000",--,--,"$56,933,000",,"$41,202,000","-$2,763,000",--,--,"-$519,000","$37,920,000","$94,853,000"
124,20,cmcsa,Comcast Corporation Class A Common Stock (CMCSA),12/31/2022,,"$4,749,000",--,"$12,672,000",--,"$4,406,000","$21,826,000",,"$7,740,000","$55,485,000","$58,494,000","$88,673,000","$25,057,000",--,"$257,275,000",,"$23,764,000","$1,743,000","$2,380,000","$27,887,000","$98,240,000","$20,395,000","$28,714,000","$684,000","$411,000","$175,920,000",,"$51,000","$51,609,000","-$7,517,000","$39,412,000","-$2,611,000","$80,943,000","$257,275,000"
125,21,cmcsa,Comcast Corporation Class A Common Stock (CMCSA),12/31/2021,,"$8,711,000",--,"$12,008,000",--,"$4,088,000","$24,807,000",,"$8,687,000","$54,047,000","$70,189,000","$92,945,000","$25,230,000",--,"$275,905,000",,"$24,176,000","$2,132,000","$3,040,000","$29,348,000","$97,888,000","$20,620,000","$30,041,000","$1,398,000","$519,000","$179,295,000",,"$54,000","$61,902,000","-$7,517,000","$40,173,000","$1,480,000","$96,092,000","$275,905,000"
126,22,cmcsa,Comcast Corporation Class A Common Stock (CMCSA),12/31/2020,,"$11,740,000",--,"$11,466,000",--,"$3,535,000","$26,741,000",,"$8,267,000","$51,995,000","$70,669,000","$94,754,000","$21,443,000",--,"$273,869,000",,"$22,687,000","$3,146,000","$2,963,000","$28,796,000","$105,782,000","$18,222,000","$28,051,000","$1,415,000","$1,280,000","$182,266,000",,"$54,000","$56,438,000","-$7,517,000","$39,464,000","$1,884,000","$90,323,000","$273,869,000"
127,23,cmcsa,Comcast Corporation Class A Common Stock (CMCSA),12/31/2019,,"$5,500,000",--,"$11,292,000",--,"$8,600,000","$25,392,000",,"$7,683,000","$48,322,000","$68,725,000","$95,493,000","$17,799,000",--,"$263,414,000",,"$23,072,000","$4,452,000","$2,768,000","$30,292,000","$102,931,000","$16,765,000","$28,180,000","$1,148,000","$1,372,000","$179,316,000",,"$54,000","$50,695,000","-$7,517,000","$38,447,000","$1,047,000","$82,726,000","$263,414,000"
128,24,tbc,AT&T Inc. 5.625% Global Notes due 2067 (TBC),12/31/2022,,"$3,701,000",--,"$11,466,000","$3,123,000","$14,818,000","$33,108,000",,"$3,533,000","$149,259,000","$67,895,000","$129,446,000","$19,612,000",--,"$402,853,000",,"$48,706,000","$7,467,000",--,"$56,173,000","$128,423,000","$54,768,000","$57,032,000","$8,957,000",--,"$305,353,000",,"$7,621,000","-$19,415,000","-$17,082,000","$123,610,000","$2,766,000","$97,500,000","$402,853,000"
129,25,tbc,AT&T Inc. 5.625% Global Notes due 2067 (TBC),12/31/2021,,"$19,223,000",--,"$12,313,000","$3,325,000","$135,907,000","$170,768,000",,"$6,168,000","$143,473,000","$92,740,000","$119,221,000","$19,252,000",--,"$551,622,000",,"$48,055,000","$24,620,000","$33,555,000","$106,230,000","$151,011,000","$56,759,000","$53,767,000","$17,523,000",--,"$385,290,000",,"$7,621,000","$42,350,000","-$17,280,000","$130,112,000","$3,529,000","$166,332,000","$551,622,000"
130,26,tbc,AT&T Inc. 5.625% Global Notes due 2067 (TBC),12/31/2020,,"$9,740,000",--,"$20,215,000","$3,695,000","$18,358,000","$52,008,000",,"$1,780,000","$166,781,000","$135,259,000","$132,523,000","$37,410,000",--,"$525,761,000",,"$59,968,000","$3,470,000",--,"$63,438,000","$153,775,000","$68,836,000","$60,472,000","$17,567,000",--,"$364,088,000",,"$7,621,000","$37,457,000","-$17,910,000","$130,175,000","$4,330,000","$161,673,000","$525,761,000"
131,27,tbc,AT&T Inc. 5.625% Global Notes due 2067 (TBC),12/31/2019,,"$12,130,000",--,"$22,636,000",--,"$19,995,000","$54,761,000",,"$3,695,000","$166,601,000","$146,241,000","$142,272,000","$38,099,000",--,"$551,669,000",,"$57,073,000","$11,838,000",--,"$68,911,000","$151,309,000","$70,013,000","$59,502,000","$17,713,000",--,"$367,448,000",,"$7,621,000","$57,936,000","-$13,085,000","$126,279,000","$5,470,000","$184,221,000","$551,669,000"
132,28,ngg,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",3/31/2023,,"$580,000","$3,221,000","$4,854,000","$1,083,000","$1,784,000","$11,333,000",,"$3,011,000","$79,669,000","$12,175,000","$4,457,000","$3,972,000",--,"$114,616,000",,"$6,558,000","$3,928,000","$803,000","$11,289,000","$50,820,000","$7,076,000","$8,879,000","$30,000",--,"$78,094,000",,"$603,000","$39,082,000",--,"$1,610,000","-$4,773,000","$36,523,000","$114,616,000"
133,29,ngg,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",3/31/2022,,"$1,010,000","$4,141,000","$5,031,000","$673,000","$13,167,000","$23,651,000",,"$3,125,000","$75,750,000","$12,550,000","$4,308,000","$5,514,000",--,"$124,898,000",,"$6,513,000","$16,149,000","$9,951,000","$32,614,000","$45,047,000","$6,920,000","$8,907,000","$30,000",--,"$93,518,000",,"$639,000","$35,038,000",--,"$1,712,000","-$6,008,000","$31,380,000","$124,898,000"
134,30,ngg,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",3/31/2021,,"$1,479,000","$3,231,000","$4,120,000","$606,000","$4,908,000","$13,712,000",,"$2,986,000","$64,906,000","$6,330,000","$1,991,000","$2,815,000",--,"$92,739,000",,"$4,955,000","$5,356,000","$2,613,000","$12,925,000","$38,959,000","$6,810,000","$6,643,000","$29,000",--,"$65,367,000",,"$654,000","$31,958,000",--,"$1,788,000","-$7,028,000","$27,372,000","$92,739,000"
135,31,ngg,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",3/31/2020,,"$321,000","$2,477,000","$3,829,000","$681,000",--,"$7,193,000",,"$3,456,000","$61,703,000","$7,083,000","$1,605,000","$2,732,000",--,"$83,771,000",,"$4,573,000","$5,520,000","$526,000","$10,619,000","$34,317,000","$8,780,000","$5,513,000","$27,000",--,"$59,256,000",,"$583,000","$27,149,000",--,"$1,613,000","-$4,830,000","$24,515,000","$83,771,000"
136,32,so,Southern Company (The) Common Stock (SO),12/31/2022,,"$1,917,000",--,"$3,716,000","$2,239,000","$2,544,000","$10,416,000",,"$3,588,000","$95,172,000","$5,161,000","$406,000","$15,503,000","$4,645,000","$134,891,000",,"$6,090,000","$6,894,000","$2,740,000","$15,724,000","$50,656,000","$15,408,000","$18,571,000","$4,124,000",--,"$104,483,000",,"$5,417,000","$11,538,000","-$53,000","$13,673,000","-$167,000","$30,408,000","$134,891,000"
137,33,so,Southern Company (The) Common Stock (SO),12/31/2021,,"$1,798,000",--,"$2,962,000","$1,993,000","$2,212,000","$8,965,000",,"$3,824,000","$91,761,000","$5,280,000","$445,000","$14,401,000","$2,858,000","$127,534,000",,"$4,463,000","$3,597,000","$2,861,000","$10,921,000","$50,120,000","$16,631,000","$17,295,000","$4,402,000",--,"$99,369,000",,"$5,279,000","$10,929,000","-$47,000","$11,950,000","-$237,000","$27,874,000","$127,534,000"
138,34,so,Southern Company (The) Common Stock (SO),12/31/2020,,"$1,065,000",--,"$3,335,000","$2,028,000","$2,189,000","$8,617,000",,"$3,665,000","$88,588,000","$5,280,000","$487,000","$13,934,000","$2,364,000","$122,935,000",,"$4,679,000","$4,116,000","$3,284,000","$12,079,000","$45,073,000","$16,385,000","$16,873,000","$4,262,000",--,"$94,672,000",,"$5,268,000","$11,311,000","-$46,000","$11,834,000","-$395,000","$27,972,000","$122,935,000"
139,35,so,Southern Company (The) Common Stock (SO),12/31/2019,,"$1,975,000",--,"$3,409,000","$1,909,000","$2,524,000","$9,817,000",,"$3,339,000","$84,860,000","$5,280,000","$536,000","$12,699,000","$2,169,000","$118,700,000",,"$4,240,000","$5,044,000","$3,262,000","$12,546,000","$41,798,000","$15,440,000","$16,866,000","$4,254,000",--,"$90,904,000",,"$5,257,000","$10,877,000","-$42,000","$11,734,000","-$321,000","$27,505,000","$118,700,000"
140,36,duk,Duke Energy Corporation (Holding Company) Common Stock (DUK),12/31/2022,,"$409,000",--,"$4,415,000","$3,584,000","$4,814,000","$13,222,000",,"$9,092,000","$117,382,000","$19,303,000",--,"$19,087,000",--,"$178,086,000",,"$6,102,000","$8,106,000","$4,665,000","$18,873,000","$67,061,000","$29,486,000","$10,813,000","$2,531,000",--,"$128,764,000",,"$1,000","$2,637,000",--,"$44,862,000","-$140,000","$49,322,000","$178,086,000"
141,37,duk,Duke Energy Corporation (Holding Company) Common Stock (DUK),12/31/2021,,"$341,000",--,"$3,522,000","$3,111,000","$2,966,000","$9,940,000",,"$10,858,000","$112,231,000","$19,303,000",--,"$17,255,000",--,"$169,587,000",,"$4,792,000","$6,691,000","$4,448,000","$15,931,000","$60,448,000","$31,860,000","$10,212,000","$1,840,000",--,"$120,291,000",,"$1,000","$3,265,000",--,"$44,371,000","-$303,000","$49,296,000","$169,587,000"
142,38,duk,Duke Energy Corporation (Holding Company) Common Stock (DUK),12/31/2020,,"$259,000",--,"$3,153,000","$3,167,000","$2,103,000","$8,682,000",,"$10,075,000","$106,782,000","$19,303,000",--,"$17,546,000",--,"$162,388,000",,"$4,163,000","$7,111,000","$5,031,000","$16,305,000","$55,625,000","$31,343,000","$9,931,000","$1,220,000",--,"$114,424,000",,"$1,000","$2,471,000",--,"$43,767,000","-$237,000","$47,964,000","$162,388,000"
143,39,duk,Duke Energy Corporation (Holding Company) Common Stock (DUK),12/31/2019,,"$311,000",--,"$3,060,000","$3,232,000","$2,560,000","$9,163,000",,"$10,076,000","$102,127,000","$19,303,000",--,"$18,169,000",--,"$158,838,000",,"$4,444,000","$6,276,000","$4,032,000","$14,752,000","$54,985,000","$31,648,000","$9,502,000","$1,129,000",--,"$112,016,000",,"$1,000","$4,108,000",--,"$40,881,000","-$130,000","$46,822,000","$158,838,000"
